date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:11	14908/14908	---MCZ	200	added ('OK')	text/html	etag:%221699890190%22	https://janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20	./janezurevc.name/slovenian-drupal-community-celebrated-release-commerce-20/index.html	(from https://janezurevc.name/)
16:43:12	31644/31644	---MCZ	200	added ('OK')	text/html	etag:%221699890191%22	https://janezurevc.name/tags/drupal	./janezurevc.name/tags/drupal/index.html	(from https://janezurevc.name/)
16:43:13	15566/15566	---MCZ	200	added ('OK')	text/html	etag:%221699890192%22	https://janezurevc.name/call-help-media-source-plugin-porting	./janezurevc.name/call-help-media-source-plugin-porting/index.html	(from https://janezurevc.name/)
16:43:14	31937/31937	---MCZ	200	added ('OK')	text/html	etag:%221699890193%22	https://janezurevc.name/tags/media	./janezurevc.name/tags/media/index.html	(from https://janezurevc.name/)
16:43:15	14322/14322	---MCZ	200	added ('OK')	text/html	etag:%221699890194%22	https://janezurevc.name/time-take-some-time-drupal-community	./janezurevc.name/time-take-some-time-drupal-community/index.html	(from https://janezurevc.name/)
16:43:16	15051/15051	---MCZ	200	added ('OK')	text/html	etag:%221699890195%22	https://janezurevc.name/get-ready-media-workshop-drupal-dev-days-seville	./janezurevc.name/get-ready-media-workshop-drupal-dev-days-seville/index.html	(from https://janezurevc.name/)
16:43:17	13098/13098	---MCZ	200	added ('OK')	text/html	etag:%221699890196%22	https://janezurevc.name/want-learn-entity-browser	./janezurevc.name/want-learn-entity-browser/index.html	(from https://janezurevc.name/)
16:43:18	23513/23513	---MCZ	200	added ('OK')	text/html	etag:%221699890197%22	https://janezurevc.name/possible-solution-knowledge-sharing-drupal-8-media-domain	./janezurevc.name/possible-solution-knowledge-sharing-drupal-8-media-domain/index.html	(from https://janezurevc.name/)
16:43:19	13416/13416	---MCZ	200	added ('OK')	text/html	etag:%221699890198%22	https://janezurevc.name/tags/book	./janezurevc.name/tags/book/index.html	(from https://janezurevc.name/)
16:43:20	17195/17195	---MCZ	200	added ('OK')	text/html	etag:%221699890199%22	https://janezurevc.name/playing-sculpin-static-site-generator	./janezurevc.name/playing-sculpin-static-site-generator/index.html	(from https://janezurevc.name/)
16:43:20	41379/41379	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2013:04:32%20GMT	https://janezurevc.name/sites/default/files/attached-files/sculpin.jpg	./janezurevc.name/sites/default/files/attached-files/sculpin/index.jpg	(from https://janezurevc.name/)
16:43:22	19568/19568	---MCZ	200	added ('OK')	text/html	etag:%221699890201%22	https://janezurevc.name/tags/web	./janezurevc.name/tags/web/index.html	(from https://janezurevc.name/)
16:43:22	370/370	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Nov%202023%2015:43:22%20GMT	https://janezurevc.name/node?page=1	./janezurevc.name/node/index1.html	(from https://janezurevc.name/)
